invoice_number,mis_date,inquiry_number,company,report_total,month_code,order_number
20610071,25-May-18,19484,John Energy,20500,201805,10610064
20610072,25-May-18,19390,Sukan,20485,201805,10610071
20610073,25-May-18,18257,GE Power Systems,268817.2,201805,10300033
20610074,25-May-18,12624,GE Power Systems,2140,201805,2003641
20610075,25-May-18,12624,GE Power Systems,2140,201805,2003641
20610076,25-May-18,12624,GE Power Systems,2140,201805,2003641
20710022,06-Apr-18,18484,IR,16000,201804,10300043
20610024,03-May-18,19339,IR,3530.64,201805,10610054
20610079,25-May-18,19185,IR,11804.73,201805,10610066
21210018,05-Jul-18,21272,Piramal,24000,201807,11210022
21210019,05-Jul-18,21264,Piramal,2835,201807,11210024
21210020,05-Jul-18,21399,Piramal,9571.78,201807,11210023
21210021,05-Jul-18,20857,Piramal,24933.6,201807,11210020
20610084,29-May-18,18363,John Energy,138750,201805,10610059
20211287,31-Oct-18,19875,Cummins,120000,201810,10211179
20610067,25-May-18,19862,Deep Industries,8380,201805,10610073
20210170,09-May-18,18498,Henkel,59736.85,201805,10200192
21210022,06-Jul-18,21491,Piramal,12718.3,201807,11210029
20210781,21-Aug-18,25679,AIC Lab Equipments,10086.36,201808,10210735
20210179,29-May-18,9352,Henkel,8160,201805,10210120
20211110,05-Oct-18,21297,GE,29880,201810,10210425
20210182,11-May-18,18456,Henkel,6150,201805,10210031
20710052,18-Apr-18,12624,GE Power Systems,2140,201804,2003641
20210185,11-May-18,19546,Henkel,4700,201805,10210145
20210030,10-Apr-18,18747,AMAT,4800,201804,10200233
20210305,05-Jun-18,18470,SSI,360718.5,201806,10210057
20210187,14-May-18,15005,KazStroy,20721864.56,201805,10210074
20210724,13-Aug-18,25855,Piramal,1081400,201808,10210654
20211139,10-Oct-18,21469,Henkel,57728.42,201810,10210996
20211304,02-Nov-18,18488,GE,15372,201811,10211191
20210191,15-May-18,19922,John Energy,688275,201805,10210224
20210192,15-May-18,19922,John Energy,688275,201805,10210224
20211140,10-Oct-18,26581,Henkel,147989.53,201810,10210949
20210194,16-May-18,18482,Henkel,10372.44,201805,10200166
20211102,04-Oct-18,27612,Beckman Coulter,166978.8,201810,10211014
20210186,11-May-18,19784,AMAT,15531.92,201805,10210173
20210198,16-May-18,18479,Adino Telecom,4260.16,201805,10210123
20211042,28-Sep-18,27090,Kirloskar,4950,201809,10210941
20210974,20-Sep-18,25887,Cummins,8881.92,201809,10210925
20210202,16-May-18,19567,Henkel,5203.6,201805,10210210
20210373,14-Jun-18,20905,Godrej,15600,201806,10210318
20210568,18-Jul-18,25339,Panexcell Clinical,9166.66,201807,10210551
20210177,29-May-18,19618,AMAT,8750,201805,10210170
20211111,05-Oct-18,25564,GE,1470614.88,201810,10210579
20210207,18-May-18,19592,Kubota,1184.89,201805,10210105
20210208,18-May-18,19508,Henkel,12949.07,201805,10210155
20210209,18-May-18,18683,Henkel,6600,201805,10200236
20210210,18-May-18,19564,SSI,32894.5,201805,10210113
20210211,18-May-18,18422,Henkel,18837.93,201805,10200137
20210212,18-May-18,18712,Henkel,26578.95,201805,10200189
20210303,04-Jun-18,19635,AMAT,26595.74,201806,10210185
20610021,02-May-18,19714,IR,6800,201805,10610053
20610020,02-May-18,19666,IR,10815,201805,10610043
20610033,05-May-18,18826,IR,9482.36,201805,10300082
20211112,05-Oct-18,20029,GE,140425,201810,10210399
20210216,18-May-18,18637,Henkel,8052,201805,10200180
20210066,18-Apr-18,18515,AMAT,60950,201804,10210062
20210218,18-May-18,18563,Henkel,59697.72,201805,10200191
20610383,27-Aug-18,19876,GE Power Systems,78942,201808,10610115
20910005,30-May-18,20004,Compass India Support,131897.57,201805,10910022
20210222,18-May-18,19409,Henkel,3790,201805,10210194
20210223,18-May-18,19653,Adino Telecom,119760,201805,10210192
20210117,26-Apr-18,19592,Kubota,23966.41,201804,10210105
20210189,15-May-18,17546,Beckman Coulter,21643,201805,10210053
20210228,19-May-18,19686,Henkel,22105,201805,10210201
20210227,19-May-18,17979,Henkel,8157.89,201805,10200060
20610032,05-May-18,17455,IR,16040.7,201805,99999059
20610037,10-May-18,18297,IR,43200,201805,10610032
20610088,31-May-18,19321,GE Power Systems,73105,201805,10610011
20610085,29-May-18,20096,GE,29477.5,201805,10610089
20610036,10-May-18,19220,IR,47294.1,201805,10610048
20610091,31-May-18,19926,Dhiren Traders,44400,201805,10610079
20210002,03-Apr-18,10831,Cummins,13320,201804,99999076
20610041,11-May-18,19392,IR,5007,201805,10610037
20210010,06-Apr-18,17881,Cummins,6250.2,201804,10200042
20210036,11-Apr-18,18442,Henkel,85106,201804,10200184
20210062,18-Apr-18,17624,Henkel,166092,201804,10210048
20710020,06-Apr-18,18592,GE Power Systems,41900,201804,10300055
20710018,04-Apr-18,18465,GE Power Systems,18500,201804,99999089
20210112,24-Apr-18,18443,GE,21196,201804,10200113
20610022,02-May-18,19698,IR,16250,201805,10610049
20210229,19-May-18,20126,KazStroy,1803600,201805,10210295
20210230,19-May-18,19922,John Energy,719200,201805,10210224
20211046,28-Sep-18,26220,Kirloskar,7136.5,201809,10210955
20210197,16-May-18,18718,Cummins,14042.6,201805,10210118
20210233,21-May-18,19221,Henkel,21576.32,201805,10210060
20210226,18-May-18,19219,Cummins,13222.22,201805,10210079
20210235,21-May-18,19451,Henkel,14000,201805,10210182
20211144,10-Oct-18,27245,Duroshox,709.46,201810,10211070
20610522,05-Oct-18,25999,GE,39564,201810,10610339
20210239,21-May-18,18456,Henkel,15750,201805,10210031
20210140,02-May-18,18244,Bharat Container,31443.39,201805,10210149
20210124,27-Apr-18,19510,Deep Industries,11847.12,201804,10410002
20210001,03-Apr-18,18389,Henkel,60000,201804,10200100
20210546,13-Jul-18,19541,GE,249783.76,201807,10210256
20210243,21-May-18,19507,Cummins,20731.7,201805,10210206
20610361,21-Aug-18,25974,GE Power Systems,87969,201808,10610272
20210236,21-May-18,19403,AMAT,82978.72,201805,10210132
20210246,22-May-18,19803,Johnson Matthey Chem. India,83522.72,201805,10210180
20210499,06-Jul-18,20876,Trident Computer,203166.5,201807,10210401
20210556,17-Jul-18,25111,Trident Computer,213096,201807,10210550
20210240,21-May-18,19361,AMAT,7202,201805,10210078
20210344,11-Jun-18,19384,AMAT,24048.92,201806,10210163
20210313,06-Jun-18,20919,Compass India Support,21250,201806,10210321
20210251,22-May-18,18197,Henkel,2901073,201805,10200224
20210252,23-May-18,19922,John Energy,1502600,201805,10210224
20210253,23-May-18,17742,Henkel,258718.38,201805,10200131
20210155,04-May-18,18895,Cummins,109364.71,201805,10200228
20210301,04-Jun-18,19840,Nhava Sheva,6032,201806,10210277
20210388,18-Jun-18,8681,McNally,1925805,201806,10210389
20210257,23-May-18,19191,Henkel,342429.32,201805,10210049
20210258,23-May-18,19831,Henkel,475,201805,10210178
20210677,06-Aug-18,25530,Cummins,52822.7,201808,10210570
20610365,21-Aug-18,26422,GE Power Systems,7500,201808,10610304
20210512,09-Jul-18,19631,Cummins,7000,201807,10210419
20210513,09-Jul-18,19842,Cummins,11000,201807,10210442
20210264,25-May-18,20020,Henkel,3281.5,201805,10210249
20210265,25-May-18,19957,Godrej,27000,201805,10210217
20211052,29-Sep-18,27175,Henkel,112631.02,201809,10210999
20610620,30-Oct-18,27443,GE,13200,201810,10610412
20210268,25-May-18,18914,Henkel,87000,201805,10210019
20210270,28-May-18,17808,Henkel,984473.7,201805,10200014
20210604,24-Jul-18,25542,Piramal,166379.7,201807,10210597
20210407,20-Jun-18,8681,McNally,797359,201806,10210389
20210273,28-May-18,19966,Godrej,1930,201805,10210238
20210606,25-Jul-18,25526,Cummins,6256.1,201807,10210585
20210005,04-Apr-18,18676,Xpro India,16434.78,201804,10200199
20210006,05-Apr-18,18088,Cummins,18982.45,201804,10200182
20210007,05-Apr-18,18188,Cummins,6000,201804,10200122
20210673,06-Aug-18,25642,AMAT,33376.49,201808,10210619
20210274,28-May-18,20844,KazStroy,1589994.34,201805,10210296
20210275,28-May-18,17897,Stanley Engineered,6000,201805,10200196
20210276,29-May-18,19836,SSI,48515.63,201805,10210188
20210520,10-Jul-18,20993,Cummins,228887.79,201807,10210467
20210695,07-Aug-18,25216,Parveen Industries,98750,201808,10210615
20210348,12-Jun-18,18626,AMAT,238868,201806,10210357
20210280,30-May-18,20081,SSI,27157.89,201805,10210266
20210487,05-Jul-18,20086,Cummins,61600,201807,10210279
20910074,11-Sep-18,26897,Bharti Airtel,2175,201809,10910101
20210283,31-May-18,20085,Henkel,739,201805,10210239
20210296,31-May-18,20147,Henkel,2166,201805,10210254
20210285,31-May-18,20027,Henkel,13123,201805,10210214
20210286,31-May-18,20072,Henkel,1785,201805,10210248
20210287,31-May-18,20065,Henkel,5127,201805,10210246
20210473,02-Jul-18,21445,Piramal,168311.4,201807,10210448
20210290,31-May-18,19647,Henkel,7500,201805,10210274
20610042,11-May-18,19469,IR,5150,201805,10610033
20610043,11-May-18,19469,IR,2670,201805,10610033
20610252,13-Jul-18,19847,GE Power Systems,2970.6,201807,10610113
20610253,13-Jul-18,19847,GE Power Systems,2970.6,201807,10610113
20210288,31-May-18,20078,Henkel,1241,201805,10210241
20210773,20-Aug-18,21455,Henkel,176071.06,201808,10210469
20210012,06-Apr-18,16261,Cummins,34883.72,201804,10200093
20210015,06-Apr-18,10309,Johnson Matthey Chem. India,658201.06,201804,2001658
20210019,06-Apr-18,17619,Hyosung,14900,201804,2003414
20210021,06-Apr-18,18734,AMAT,16526.32,201804,10200214
20210022,06-Apr-18,18606,AMAT,20578.95,201804,10200164
20210023,06-Apr-18,16273,Cummins,50200,201804,10200105
20210026,09-Apr-18,18489,Cummins,18000,201804,10200130
20210028,10-Apr-18,16092,Cummins,122228.26,201804,2002964
20210029,10-Apr-18,18518,Henkel,45000,201804,10200136
20210031,10-Apr-18,17899,Cummins,3900,201804,99999001
20210032,10-Apr-18,18841,AMAT,14800,201804,10200229
20210034,10-Apr-18,18547,Cummins,7180.71,201804,10200200
20210035,10-Apr-18,18461,SSI,40212.55,201804,10210025
20210042,12-Apr-18,17291,Maschio,5956,201804,2003290
20210044,12-Apr-18,18365,Cummins,25475.54,201804,10210008
20210410,20-Jun-18,8681,McNally,317522,201806,10210389
20210046,12-Apr-18,17899,Cummins,310,201804,99999001
20210052,17-Apr-18,18628,Cummins,13800,201804,10210017
20210054,17-Apr-18,19325,Godrej,21800,201804,10210044
20210300,04-Jun-18,17546,Beckman Coulter,1192379,201806,10210053
20910014,15-Jun-18,13775,DHL,180000,201806,10910020
20210061,18-Apr-18,17940,Cummins,19466.67,201804,10210007
20210063,18-Apr-18,17000,Cummins,30000,201804,10200072
20610045,15-May-18,18855,IR,300,201805,10300088
21910034,22-Oct-18,27781,Piramal,114075.6,201810,11410031
20210068,19-Apr-18,18918,C and E Ltd.,3500,201804,10210005
20210070,19-Apr-18,19326,Godrej,4022,201804,10210046
20210071,19-Apr-18,18471,Henkel,10555.53,201804,10210006
20210350,12-Jun-18,19861,AMAT,102127.68,201806,10210203
20610592,23-Oct-18,27234,GHCL,4897,201810,10610409
20210080,20-Apr-18,19323,AMAT,21578.95,201804,10210058
20210082,20-Apr-18,18026,Henkel,8421.05,201804,10200128
20210087,20-Apr-18,18848,C and E Ltd.,600,201804,10210016
20210414,22-Jun-18,18616,GAIL,92826,201806,10210404
20210089,20-Apr-18,19340,Henkel,7058.85,201804,10210059
20210091,21-Apr-18,19401,Godrej,3800,201804,10210068
20210092,21-Apr-18,16837,BEL Optronic,12108.68,201804,2003493
20210096,21-Apr-18,18154,Cummins,40337.08,201804,10210036
20210097,21-Apr-18,18698,Sukan,18646.78,201804,10210029
20210098,23-Apr-18,18884,Narayana Health,15890,201804,10200234
20610023,03-May-18,18019,GE Power Systems,42498.75,201805,99999045
20210101,23-Apr-18,19276,Henkel,60000,201804,10210024
21210074,10-Oct-18,27235,Piramal,141.18,201810,11210064
20210602,24-Jul-18,25550,Piramal,29944.8,201807,10210598
20210613,26-Jul-18,25211,Piramal,121750,201807,10210623
20210108,23-Apr-18,19434,Henkel,2500,201804,10210090
20210110,24-Apr-18,17057,GE,22309,201804,10200154
20210111,24-Apr-18,14204,GE,9018,201804,10200155
20210017,06-Apr-18,18671,Godrej,26000,201804,10200190
20210403,20-Jun-18,20924,Godrej,2630,201806,10210362
20210059,17-Apr-18,18751,Godrej,2600,201804,10210050
20210069,19-Apr-18,18290,Cummins,36632.7,201804,10210040
20210116,26-Apr-18,19241,Henkel,22842.13,201804,10210052
20210039,11-Apr-18,8348,McNally,1600612.18,201804,10200237
20210118,26-Apr-18,18828,C and E Ltd.,11575,201804,10210039
20210119,26-Apr-18,18583,Nhava Sheva,42990,201804,10210067
20210121,27-Apr-18,18287,Henkel,17446,201804,10200239
20210123,27-Apr-18,19253,VVF India,1590.79,201804,10210073
20210127,30-Apr-18,19601,Henkel,230000,201804,10210104
21010001,06-Apr-18,18801,Bharti Airtel,2076,201804,10400025
21010004,10-Apr-18,18236,MRL Tyres,9374.16,201804,10400017
21010006,12-Apr-18,19342,Bharti Airtel,2076,201804,10910003
21010007,12-Apr-18,19368,Bharti Airtel,692,201804,10910006
21010008,13-Apr-18,19364,Bharti Airtel,692,201804,10910004
21010009,13-Apr-18,19369,Bharti Airtel,692,201804,10910005
20210842,31-Aug-18,26405,Cummins,16812.5,201808,10210807
21010011,20-Apr-18,19370,Bharti Airtel,2076,201804,11010001
21010012,20-Apr-18,19526,Bharti Airtel,10380,201804,10910010
21010013,20-Apr-18,19528,Bharti Airtel,6920,201804,10910009
21010014,21-Apr-18,19544,Bharti Airtel,2076,201804,10910011
20610046,15-May-18,19767,IR,6640,201805,10610070
20610010,26-Apr-18,19578,GE Power Systems,1100,201804,10610039
20610011,26-Apr-18,14815,GE Power Systems,196560,201804,10610040
20610050,16-May-18,18703,IR,45360,201805,10210183
20610014,26-Apr-18,12624,GE Power Systems,2140,201804,2003641
20610015,26-Apr-18,12624,GE Power Systems,2140,201804,2003641
20610016,26-Apr-18,12624,GE Power Systems,2140,201804,2003641
20610017,26-Apr-18,19240,GE Power Systems,15800,201804,10610024
20210320,07-Jun-18,8480,Voltas,79430.63,201806,10210041
20610019,27-Apr-18,18737,GE Power Systems,132800,201804,10300072
20710012,04-Apr-18,16942,IR,30918,201804,2003400
20710021,06-Apr-18,18207,IR,13000,201804,10300061
20910001,23-May-18,20069,Compass India Support,730,201805,10910017
20710026,09-Apr-18,18855,IR,1566.09,201804,10300087
20710027,09-Apr-18,17598,IR,2857.12,201804,10610002
20710028,09-Apr-18,19203,GE Power Systems,33528,201804,10610003
20710030,10-Apr-18,18645,IR,658.49,201804,10610008
20710032,10-Apr-18,10491,GE Power Systems,58750,201804,10610147
20710033,10-Apr-18,18742,GE Power Systems,5250,201804,10610013
20710037,10-Apr-18,12624,GE Power Systems,2140,201804,2003641
20710049,18-Apr-18,18700,GE Power Systems,3800,201804,10610026
20710054,18-Apr-18,18742,GE Power Systems,525,201804,10610014
20610057,19-May-18,17358,IR,144999,201805,10300025
20610063,25-May-18,19815,IR,4466.9,201805,10210184
20610064,25-May-18,19815,IR,1660,201805,10210184
20610080,25-May-18,19699,IR,48436.32,201805,10610055
20610081,25-May-18,19815,IR,2020,201805,10210184
20610077,25-May-18,18913,IR,71068,201805,10610092
20210003,04-Apr-18,18565,AMAT,11450.5,201804,10200165
20210009,06-Apr-18,18510,Cummins,19015.04,201804,10200179
20210014,06-Apr-18,16033,Cummins,4116.86,201804,99999035
20210043,12-Apr-18,18167,Henkel,5230,201804,10200123
20210055,17-Apr-18,19343,Godrej,6415.92,201804,10210054
20210086,20-Apr-18,19527,GE,124341,201804,10210087
20210090,21-Apr-18,18711,GL and V India,71901.2,201804,10200210
20210093,21-Apr-18,18246,Cummins,76696,201804,10200157
20210100,23-Apr-18,19374,AMAT,15851.06,201804,10210085
20210115,25-Apr-18,9189,Henkel,68228.41,201804,10210100
20210128,30-Apr-18,18305,GE,81200,201804,10200197
20210132,02-May-18,19402,Godrej,11730,201805,10210116
20610512,04-Oct-18,27045,ABB India,3810.68,201810,10610423
20610389,27-Aug-18,21460,GE,14123,201808,10610298
20210136,02-May-18,19597,Henkel,3281.5,201805,10210114
20210231,19-May-18,20132,KazStroy,2164320,201805,10210294
20210138,02-May-18,19405,Godrej,21529.41,201805,10210066
20210142,03-May-18,19242,Henkel,31647.06,201805,10210130
20210143,03-May-18,19446,AMAT,13763.44,201805,10210133
20210419,22-Jun-18,21210,Nhava Sheva,6794.1,201806,10210406
20210016,06-Apr-18,17305,Cummins,24305.88,201804,10200074
20210018,06-Apr-18,18260,Cummins,31475.18,201804,10200178
20210024,09-Apr-18,17768,Henkel,2186.84,201804,10200125
20210079,20-Apr-18,18193,Henkel,63062,201804,99999090
20910006,05-Jun-18,20938,HSIL,12500,201806,10910026
20610090,31-May-18,19500,IR,5340,201805,10610031
20710015,04-Apr-18,18412,GE Power Systems,4500,201804,10300032
20710016,04-Apr-18,18412,GE Power Systems,4500,201804,10300032
20710064,21-Apr-18,18715,GE Power Systems,61740,201804,99999025
20210294,31-May-18,19692,Henkel,4790.01,201805,10210257
20910004,30-May-18,20116,Bharti Airtel,4152,201805,10910021
20610229,07-Jul-18,21378,GE,18360,201807,10610188
20910010,13-Jun-18,20987,Bharti Airtel,2076,201806,10910028
21010002,07-Apr-18,19206,DHL,38096.67,201804,10910001
21010003,07-Apr-18,19206,DHL,98384.98,201804,10910001
20210027,10-Apr-18,18620,Cummins,48000,201804,10200201
20610089,31-May-18,18544,GE,38537.5,201805,10710004
20210160,08-May-18,19347,AMAT,45973.71,201805,10210096
20210048,12-Apr-18,17145,AMAT,292701.07,201804,10210030
20210095,21-Apr-18,18896,Henkel,14325,201804,10210042
20210139,02-May-18,18896,Henkel,30000,201805,10210042
20710011,04-Apr-18,16185,IR,18360,201804,99999096
20210040,11-Apr-18,16375,Cummins,21860,201804,2003280
20210049,12-Apr-18,17898,AMAT,173944.09,201804,10210026
20210355,12-Jun-18,20972,AMAT,26316,201806,10210336
20210053,17-Apr-18,16541,UKB Electronics,6436.78,201804,2003331
20210072,19-Apr-18,18370,AMAT,312727.66,201804,10200103
20210076,19-Apr-18,18503,Trident Computer,203929.15,201804,10210086
20210475,02-Jul-18,21294,Piramal,142950,201807,10210424
20210085,20-Apr-18,18634,GE,41447,201804,10200161
20210094,21-Apr-18,8231,JINDAL,15340.22,201804,10210099
20610239,11-Jul-18,20167,GE,15857.79,201807,10610204
20210284,31-May-18,19922,John Energy,1521850,201805,10210224
20610078,25-May-18,19666,IR,37185,201805,10610043
20710056,18-Apr-18,18412,GE Power Systems,450,201804,10300032
21010005,11-Apr-18,18779,Instakart Services,8556.47,201804,10400023
20210083,20-Apr-18,18193,Henkel,3608,201804,99999090
20210722,13-Aug-18,20937,GE,64000,201808,10210635
20210135,02-May-18,18589,Cummins,5251.68,201805,10210015
20710013,04-Apr-18,15693,GE Power Systems,3412.2,201804,99999017
20710017,04-Apr-18,18814,GE Power Systems,1300,201804,10300078
20710047,12-Apr-18,17455,IR,11588.4,201804,99999059
20210446,27-Jun-18,19642,GE,207458.16,201806,10210139
20210088,20-Apr-18,17321,Henkel,80000,201804,2003497
20710036,10-Apr-18,19260,GE Power Systems,2500,201804,10610010
20710042,10-Apr-18,19260,GE Power Systems,1500,201804,10610010
20710055,18-Apr-18,19260,GE Power Systems,7600,201804,10610010
20610083,28-May-18,19558,IR,39692.07,201805,10610087
20210381,15-Jun-18,20734,Duroshox,4650,201806,10210363
20210386,18-Jun-18,21054,Duroshox,4820,201806,10210374
20210269,25-May-18,19277,Henkel,94500,201805,10210167
20210478,02-Jul-18,20989,Piramal,290870.82,201807,10210356
20210686,07-Aug-18,14816,Henkel,13600,201808,2003085
20710029,10-Apr-18,18715,GE Power Systems,5500,201804,99999025
20710067,23-Apr-18,17982,GE Power Systems,30319.2,201804,99999044
20610097,04-Jun-18,19668,GE Power Systems,893,201806,10610103
20210295,31-May-18,14346,Nhava Sheva,8859.88,201805,10210126
20210302,04-Jun-18,18910,Henkel,409108,201806,10210156
20210356,12-Jun-18,19802,AMAT,30375,201806,10210308
20210099,23-Apr-18,18600,Cummins,17834.4,201804,10210001
20610082,28-May-18,18629,IR,83162,201805,10610030
20210176,29-May-18,19474,GAIL,39000,201805,10210131
20710048,13-Apr-18,18717,GE,10675,201804,10610020
20210331,08-Jun-18,20583,Henkel,5286.4,201806,10210278
20210020,06-Apr-18,10386,Hyosung,16400,201804,99999042
20210122,27-Apr-18,17034,Godrej,5260,201804,10210012
20710023,07-Apr-18,18755,GE Power Systems,5052,201804,10300070
20710038,10-Apr-18,12624,GE Power Systems,2140,201804,2003641
20710039,10-Apr-18,12624,GE Power Systems,2140,201804,2003641
20710040,10-Apr-18,12624,GE Power Systems,2140,201804,2003641
20710041,10-Apr-18,12624,GE Power Systems,2140,201804,2003641
20710050,18-Apr-18,12624,GE Power Systems,2140,201804,2003641
20710051,18-Apr-18,12624,GE Power Systems,2140,201804,2003641
20210164,09-May-18,18832,Henkel,10526,201805,10210176
20210169,09-May-18,18759,Henkel,8947.37,201805,10210376
20210163,09-May-18,13562,Beckman Coulter,31400,201805,2002860
20210278,30-May-18,19724,Cummins,19015.04,201805,10210209
20210250,22-May-18,18295,Cummins,293451.68,201805,10200156
20610100,05-Jun-18,18412,GE Power Systems,2250,201806,10300032
20610086,31-May-18,20643,IR,45000,201805,10610096
20610087,31-May-18,20779,IR,7500,201805,10610097
20210450,27-Jun-18,20161,Beckman Coulter,39000,201806,10210304
20211158,12-Oct-18,27493,AMAT,21763.44,201810,10210967
20610103,05-Jun-18,20720,GE Power Systems,42450,201806,10610104
20710034,10-Apr-18,18352,GE Power Systems,4800,201804,99999026
20211288,31-Oct-18,27614,Cummins,26470,201810,10211087
20610104,05-Jun-18,19921,GE Power Systems,129760,201806,10610093
20610095,02-Jun-18,19740,IR,11960,201806,10610094
20610105,05-Jun-18,20651,GE Power Systems,15047.17,201806,10610091
20210310,05-Jun-18,20582,Henkel,45000,201806,10210260
20610099,04-Jun-18,20786,IR,28140,201806,10610106
20210104,23-Apr-18,11011,Fernas,1328089.99,201804,10210110
20210105,23-Apr-18,11637,Fernas,111250.14,201804,10210111
21210008,05-Jun-18,16595,Johoku Manufacturing,1520,201806,11210007
20710010,04-Apr-18,18839,IR,36720,201804,10300083
20610125,12-Jun-18,20610,GE,10675,201806,10610117
20210293,31-May-18,19456,Cummins,69661.14,201805,10210287
20710045,11-Apr-18,18797,Metso,3288,201804,10300075
20210816,28-Aug-18,21297,GE,12000,201808,10210425
20210311,06-Jun-18,19788,Henkel,41839.3,201806,10210293
20610107,06-Jun-18,18352,GE Power Systems,4800,201806,10610090
20210312,06-Jun-18,18843,Henkel,16540,201806,10210193
20610098,04-Jun-18,20155,IR,5500,201806,10610107
20610096,04-Jun-18,19917,IR,3992.5,201806,10610095
20210203,17-May-18,18697,Cummins,105933.7,201805,10210135
20210380,15-Jun-18,18011,RIL,377000,201806,10210121
20210279,30-May-18,19693,Reliance,5294.12,201805,10210223
20210125,27-Apr-18,17058,Cummins,66125.91,201804,10210101
20210314,06-Jun-18,20589,Henkel,77350,201806,10210268
20210315,06-Jun-18,20041,PRATYARPANA,61200,201806,10210259
21210048,14-Aug-18,26167,Piramal,220,201808,11210049
20610094,01-Jun-18,20792,GE Power Systems,2140,201806,10610102
20610101,05-Jun-18,19740,IR,28200,201806,10610094
20710031,10-Apr-18,18715,GE Power Systems,37044,201804,99999025
20610273,19-Jul-18,20917,GE Power Systems,1200,201807,10610237
20210569,18-Jul-18,25084,ZF India,12027,201807,10210486
20210317,06-Jun-18,19982,Henkel,40840,201806,10210204
20610026,04-May-18,19717,GE Power Systems,63671,201805,10610052
20210074,19-Apr-18,17507,Cummins,7405.19,201804,10210034
20210319,06-Jun-18,19475,AMAT,67848.91,201806,10210129
20210292,31-May-18,16997,Cummins,37500,201805,10210302
20710044,11-Apr-18,16447,GE Power Systems,1650,201804,99999088
20710063,21-Apr-18,18715,GE Power Systems,5500,201804,99999025
20710069,24-Apr-18,18715,GE Power Systems,5500,201804,99999025
20210134,02-May-18,19444,Cummins,46140,201805,10210098
207100002,03-Apr-18,17982,GE Power Systems,30319.2,201804,99999044
207100003,03-Apr-18,16186,GE Power Systems,540,201804,99999095
207100004,03-Apr-18,18522,IR,13548,201804,10300079
207100005,03-Apr-18,12624,GE Power Systems,2140,201804,2003641
207100006,03-Apr-18,12624,GE Power Systems,2140,201804,2003641
207100007,04-Apr-18,12624,GE Power Systems,2140,201804,2003641
20210165,09-May-18,18720,Nhava Sheva,8030,201805,10210023
20210077,19-Apr-18,19547,Trident Computer,194061.61,201804,10210089
20210321,07-Jun-18,19522,Xpro India,24835.22,201806,10210112
20210322,07-Jun-18,19522,Xpro India,2000,201806,10210112
20210323,07-Jun-18,20826,South West Pinnacle,15000,201806,10210322
20610373,23-Aug-18,10491,GE Power Systems,35250,201808,10610147
20210324,07-Jun-18,18371,Aadrsh,2400.63,201806,10210271
20610181,27-Jun-18,20959,GE,5935,201806,10610175
